title,publisher,citation,abstract,keywords,author_university
PATHWISE COORDINATE OPTIMIZATION FOR SPARSE LEARNING: ALGORITHM AND THEORY,ANNALS OF STATISTICS,37,"The pathwise coordinate optimization is one of the most important computational frameworks for high dimensional convex and nonconvex sparse learning problems. It differs from the classical coordinate optimization algorithms in three salient features: warm start initialization, active set updating and strong rule for coordinate preselection. Such a complex algorithmic structure grants superior empirical performance, but also poses significant challenge to theoretical analysis. To tackle this long lasting problem, we develop a new theory showing that these three features play pivotal roles in guaranteeing the outstanding statistical and computational performance of the pathwise coordinate optimization framework. Particularly, we analyze the existing pathwise coordinate optimization algorithms and provide new theoretical insights into them. The obtained insights further motivate the development of several modifications to improve the pathwise coordinate optimization framework, which guarantees linear convergence to a unique sparse local optimum with optimal statistical properties in parameter estimation and support recovery. This is the first result on the computational and statistical guarantees of the pathwise coordinate optimization framework in high dimensions. Thorough numerical experiments are provided to support our theory.","Nonconvex sparse learning,pathwise coordinate optimization,global linear convergence,optimal statistical rates of convergence,oracle property,active set,strong rule","Zhao, Tuo@University System of Georgia@Georgia Institute of Technology::Liu, Han@Princeton University::Zhang, Tong@Tencent"
CONDITIONAL MEAN AND QUANTILE DEPENDENCE TESTING IN HIGH DIMENSION,ANNALS OF STATISTICS,31,"Motivated by applications in biological science, we propose a novel test to assess the conditional mean dependence of a response variable on a large number of covariates. Our procedure is built on the martingale difference divergence recently proposed in Shao and Zhang [J. Amer. Statist. Assoc. 109 (2014) 1302-1318], and it is able to detect certain type of departure from the null hypothesis of conditional mean independence without making any specific model assumptions. Theoretically, we establish the asymptotic normality of the proposed test statistic under suitable assumption on the eigenvalues of a Hermitian operator, which is constructed based on the characteristic function of the covariates. These conditions can be simplified under banded dependence structure on the covariates or Gaussian design. To account for heterogeneity within the data, we further develop a testing procedure for conditional quantile independence at a given quantile level and provide an asymptotic justification. Empirically, our test of conditional mean independence delivers comparable results to the competitor, which was constructed under the linear model framework, when the underlying model is linear. It significantly outperforms the competitor when the conditional mean admits a nonlinear form.","Large-p-small-n,martingale difference divergence,simultaneous test,U-statistics","Zhang, Xianyang@Texas A&M University College Station@Texas A&M University System::Yao, Shun@University of Illinois Urbana-Champaign@University of Illinois System::Shao, Xiaofeng@University of Illinois Urbana-Champaign@University of Illinois System"
HIGH-DIMENSIONAL ASYMPTOTICS OF PREDICTION: RIDGE REGRESSION AND CLASSIFICATION,ANNALS OF STATISTICS,61,"We provide a unified analysis of the predictive risk of ridge regression and regularized discriminant analysis in a dense random effects model. We work in a high-dimensional asymptotic regime where p, n -> infinity and p/n -> gamma > 0, and allow for arbitrary covariance among the features. For both methods, we provide an explicit and efficiently computable expression for the limiting predictive risk, which depends only on the spectrum of the feature-covariance matrix, the signal strength and the aspect ratio.. Especially in the case of regularized discriminant analysis, we find that predictive accuracy has a nuanced dependence on the eigenvalue distribution of the covariance matrix, suggesting that analyses based on the operator norm of the covariance matrix may not be sharp. Our results also uncover an exact inverse relation between the limiting predictive risk and the limiting estimation risk in high-dimensional linear models. The analysis builds on recent advances in random matrix theory.","High-dimensional asymptotics,ridge regression,regularized discriminant analysis,prediction error,random matrix theory","Dobriban, Edgar@University of Pennsylvania::Wager, Stefan@Stanford University"
TESTING INDEPENDENCE IN HIGH DIMENSIONS WITH SUMS OF RANK CORRELATIONS,ANNALS OF STATISTICS,34,"We treat the problem of testing independence between m continuous variables when m can be larger than the available sample size n. We consider three types of test statistics that are constructed as sums or sums of squares of pairwise rank correlations. In the asymptotic regime where both m and n tend to infinity, a martingale central limit theorem is applied to show that the null distributions of these statistics converge to Gaussian limits, which are valid with no specific distributional or moment assumptions on the data. Using the framework of U-statistics, our result covers a variety of rank correlations including Kendall's tau and a dominating term of Spearman's rank correlation coefficient (rho), but also degenerate U-statistics such as Hoeffding's D, or the tau* of Bergsma and Dassios [Bernoulli 20 (2014) 1006-1028]. As in the classical theory for U-statistics, the test statistics need to be scaled differently when the rank correlations used to construct them are degenerate U-statistics. The power of the considered tests is explored in rate-optimality theory under a Gaussian equicorrelation alternative as well as in numerical experiments for specific cases of more general alternatives.","High-dimensional statistics,independence,U-statistics,minimax optimality,rank correlations","Leung, Dennis@Chinese University of Hong Kong::Drton, Mathias@University of Washington@University of Washington Seattle"
LOCAL M-ESTIMATION WITH DISCONTINUOUS CRITERION FOR DEPENDENT AND LIMITED OBSERVATIONS,ANNALS OF STATISTICS,44,"We examine the asymptotic properties of local M-estimators under three sets of high-level conditions. These conditions are sufficiently general to cover the minimum volume predictive region, the conditional maximum score estimator for a panel data discrete choice model and many other widely used estimators in statistics and econometrics. Specifically, they allow for discontinuous criterion functions of weakly dependent observations which may be localized by kernel smoothing and contain nuisance parameters with growing dimension. Furthermore, the localization can occur around parameter values rather than around a fixed point and the observations may take limited values which lead to set estimators. Our theory produces three different nonparametric cube root rates for local M-estimators and enables valid inference building on novel maximal inequalities for weakly dependent observations. The standard cube root asymptotics is included as a special case. The results are illustrated by various examples such as the Hough transform estimator with diminishing bandwidth, the maximum score-type set estimator and many others.","Cube root asymptotics,maximal inequality,mixing process,partial identification,parameter-dependent localization","Seo, Myung Hwan@Seoul National University::Otsu, Taisuke@London School Economics & Political Science@University of London"
MIXTURE INNER PRODUCT SPACES AND THEIR APPLICATION TO FUNCTIONAL DATA ANALYSIS,ANNALS OF STATISTICS,38,"We introduce the concept of mixture inner product spaces associated with a given separable Hilbert space, which feature an infinite-dimensional mixture of finite-dimensional vector spaces and are dense in the underlying Hilbert space. Any Hilbert valued random element can be arbitrarily closely approximated by mixture inner product space valued random elements. While this concept can be applied to data in any infinite-dimensional Hilbert space, the case of functional data that are random elements in the L-2 space of square integrable functions is of special interest. For functional data, mixture inner product spaces provide a new perspective, where each realization of the underlying stochastic process falls into one of the component spaces and is represented by a finite number of basis functions, the number of which corresponds to the dimension of the component space. In the mixture representation of functional data, the number of included mixture components used to represent a given random element in L2 is specifically adapted to each random trajectory and may be arbitrarily large. Key benefits of this novel approach are, first, that it provides a new perspective on the construction of a probability density in function space under mild regularity conditions, and second, that individual trajectories possess a trajectory-specific dimension that corresponds to a latent random variable, making it possible to use a larger number of components for less smooth and a smaller number for smoother trajectories. This enables flexible and parsimonious modeling of heterogeneous trajectory shapes. We establish estimation consistency of the functional mixture density and introduce an algorithm for fitting the functional mixture model based on a modified expectation-maximization algorithm. Simulations confirm that in comparison to traditional functional principal component analysis the proposed method achieves similar or better data recovery while using fewer components on average. Its practical merits are also demonstrated in an analysis of egg-laying trajectories for medflies.","Basis,functional data analysis,infinite mixture,probability density,trajectory representation","Lin, Zhenhua@University of Toronto::Mueller, Hans-Georg@University of California Davis@University of California System::Yao, Fang@University of Toronto@Peking University"
ON THE ASYMPTOTIC THEORY OF NEW BOOTSTRAP CONFIDENCE BOUNDS,ANNALS OF STATISTICS,13,"We propose a new method, based on sample splitting, for constructing bootstrap confidence bounds for a parameter appearing in the regular smooth function model. It has been demonstrated in the literature, for example, by Hall [Ann. Statist. 16 (1988) 927-985; The Bootstrap and Edgeworth Expansion (1992) Springer], that the well-known percentile-t method for constructing bootstrap confidence bounds typically incurs a coverage error of order O(n(-1)), with n being the sample size. Our version of the percentile-t bound reduces this coverage error to order O(n(-3/2)) and in some cases to O(n(-2)). Furthermore, whereas the standard percentile bounds typically incur coverage error of O(n(-1/2)), the new bounds have reduced error of O(n(-1)). In the case where the parameter of interest is the population mean, we derive for each confidence bound the exact coefficient of the leading term in an asymptotic expansion of the coverage error, although similar results may be obtained for other parameters such as the variance, the correlation coefficient, and the ratio of two means. We show that equal-tailed confidence intervals with coverage error at most O(n(-2)) may be obtained from the newly proposed bounds, as opposed to the typical error O(n(-1)) of the standard intervals. It is also shown that the good properties of the new percentile-t method carry over to regression problems. Results of independent interest are derived, such as a generalisation of a delta method by Cramer [Mathematical Methods of Statistics (1946) Princeton Univ. Press] and Hurt [Apl. Mat. 21 (1976) 444-456], and an expression for a polynomial appearing in an Edgeworth expansion of the distribution of a Studentised statistic for the slope parameter in a regression model. A small simulation study illustrates the behavior of the confidence bounds for small to moderate sample sizes.","Confidence bounds,sample splitting,coverage error,smooth function model,Edgeworth polynomials,Cornish-Fisher expansion,regression","Pretorius, Charl@North West University - South Africa::Swanepoel, Jan W. H.@North West University - South Africa"
DESIGNS WITH BLOCKS OF SIZE TWO AND APPLICATIONS TO MICROARRAY EXPERIMENTS,ANNALS OF STATISTICS,35,"Designs with blocks of size two have numerous applications. In experimental situations where observation loss is common, it is important for a design to be robust against breakdown. For designs with one treatment factor and a single blocking factor, with blocks of size two, conditions for connectivity and robustness are obtained using combinatorial arguments and results from graph theory. Lower bounds are given for the breakdown number in terms of design parameters. For designs with equal or near equal treatment replication, the concepts of treatment and block partitions, and of linking blocks, are used to obtain information on the number of blocks required to guarantee various levels of robustness. The results provide guidance for construction of designs with good robustness properties.

Robustness conditions are also established for row column designs in which one of the blocking factors involves blocks of size two. Such designs are particularly relevant for microarray experiments, where the high risk of observation loss makes robustness important. Disconnectivity in row column designs can be classified as three types. Techniques are given to assess design robustness according to each type, leading to lower bounds for the breakdown number. Guidance is given for robust design construction.

Cyclic designs and interwoven loop designs are shown to have good robustness properties.","Breakdown number,connectivity,incomplete block design,microarray experiment,observation loss,robustness,row column design","Godolphin, Janet@University of Surrey"
LOCAL ROBUST ESTIMATION OF THE PICKANDS DEPENDENCE FUNCTION,ANNALS OF STATISTICS,30,"We consider the robust estimation of the Pickands dependence function in the random covariate framework. Our estimator is based on local estimation with the minimum density power divergence criterion. We provide the main asymptotic properties, in particular the convergence of the stochastic process, correctly normalized, towards a tight centered Gaussian process. The finite sample performance of our estimator is evaluated with a simulation study involving both uncontaminated and contaminated samples. The method is illustrated on a dataset of air pollution measurements.","Conditional Pickands dependence function,robustness,stochastic convergence","Escobar-Bach, Mikael@University of Southern Denmark::Goegebeur, Yuri@University of Southern Denmark::Guillou, Armelle@CNRS - National Institute for Mathematical Sciences (INSMI)@Universite de Strasbourg@Centre National de la Recherche Scientifique (CNRS)@Universites de Strasbourg Etablissements Associes"
STRONG IDENTIFIABILITY AND OPTIMAL MINIMAX RATES FOR FINITE MIXTURE ESTIMATION,ANNALS OF STATISTICS,36,"We study the rates of estimation of finite mixing distributions, that is, the parameters of the mixture. We prove that under some regularity and strong identifiability conditions, around a given mixing distribution with m(0) components, the optimal local minimax rate of estimation of a mixing distribution with m components is n(-1/(4(m-m0)+2)). This corrects a previous paper by Chen [Ann. Statist. 23 (1995) 221-233].

By contrast, it turns out that there are estimators with a (nonuniform) pointwise rate of estimation of n(-1/2) for all mixing distributions with a finite number of components.","Local asymptotic normality,convergence of experiments,maximum likelihood estimate,Wasserstein metric,mixing distribution,mixture model,rate of convergence,strong identifiability,pointwise rate,superefficiency","Heinrich, Philippe@Universite de Lille@Fondation I-SITE ULNE@Universite Lille-Nord-de-France (ComUE)::Kahn, Jonas@Universite de Toulouse@Universite Toulouse III - Paul Sabatier"
